mission_time,metres
5264.25,559.718
5264.31,365.0
5264.32,560.073
5264.39,559.895
5264.41,365.0
5264.46,559.806
5264.51,365.0
5264.53,559.895
5264.6,559.451
5264.61,365.0
5264.67,559.806
5264.71,365.0
5264.74,559.718
5264.81,365.0
5264.81,559.718
5264.88,559.629
5264.91,365.0
5264.95,559.718
5265.01,365.0
5265.02,559.54
5265.09,559.984
5265.11,365.0
5265.16,559.895
5265.21,365.0
5265.23,559.806
5265.3,560.34
5265.31,365.0
5265.37,559.806
5265.41,365.0
5265.439,559.895
5265.51,365.0
5265.51,559.984
5265.58,560.162
5265.61,365.0
5265.65,559.806
5265.71,365.0
5265.72,559.984
5265.79,560.34
5265.81,365.0
5265.86,560.251
5265.91,365.0
5265.93,560.518
5266.0,559.895
5266.01,365.0
5266.07,559.895
5266.11,365.0
5266.14,559.984
5266.21,559.984
5266.21,365.0
5266.28,559.984
5266.31,365.0
5266.35,560.251
5266.41,365.0
5266.42,560.607
5266.49,560.607
5266.51,365.0
5266.56,560.162
5266.61,365.0
5266.63,559.895
5266.7,560.162
5266.71,365.0
5266.77,560.34
5266.81,365.0
5266.84,560.162
5266.91,365.0
5266.91,559.718
5266.98,560.251
5267.01,365.0
5267.05,559.806
5267.11,365.0
5267.12,559.984
5267.19,559.895
5267.21,365.0
5267.26,559.451
5267.31,365.0
5267.33,559.718
5267.4,560.073
5267.41,365.0
5267.47,560.162
5267.51,365.0
5267.54,560.073
5267.61,365.0
5267.61,560.162
5267.68,559.629
5267.71,365.0
5267.75,559.895
5267.81,365.0
5267.82,559.984
5267.89,560.34
5267.91,365.0
5267.96,559.895
5268.01,365.0
5268.03,560.34
5268.1,560.162
5268.11,365.0
5268.17,559.984
5268.21,365.0
5268.24,559.895
5268.31,559.895
5268.31,365.0
5268.38,559.806
5268.41,365.0
5268.45,559.895
5268.51,365.0
5268.52,559.806
5268.59,559.806
5268.61,365.0
5268.66,560.162
5268.71,365.0
5268.73,559.895
5268.8,559.984
5268.81,365.0
5268.87,559.806
5268.91,365.0
5268.94,559.54
5269.01,559.806
5269.01,365.0
5269.08,560.518
5269.11,365.0
5269.15,560.34
5269.21,365.0
5269.22,560.607
5269.29,560.607
5269.31,365.0
5269.36,560.073
5269.41,365.0
5269.43,560.251
5269.5,560.429
5269.51,365.0
5269.57,560.34
5269.61,365.0
5269.64,560.251
5269.7,365.0
5269.71,560.162
5269.78,559.984
5269.81,365.0
5269.85,560.34
5269.91,365.0
5269.919,559.984
5269.99,560.34
5270.01,365.0
5270.06,559.806
5270.11,365.0
5270.13,560.162
5270.2,559.895
5270.21,365.0
5270.27,559.806
5270.31,365.0
5270.34,559.629
5270.41,559.984
5270.41,365.0
5270.48,559.718
5270.51,365.0
5270.55,559.806
5270.6,365.0
5270.62,559.895
5270.69,559.451
5270.71,365.0
5270.76,559.984
5270.81,365.0
5270.83,559.629
5270.9,560.073
5270.91,365.0
5270.97,560.162
5271.01,365.0
5271.04,559.984
5271.11,560.073
5271.11,365.0
5271.18,559.984
5271.21,365.0
5271.25,559.895
5271.31,365.0
5271.32,560.429
5271.39,560.785
5271.41,365.0
5271.46,559.984
5271.51,365.0
5271.53,559.895
5271.6,560.162
5271.61,365.0
5271.67,560.696
5271.71,365.0
5271.74,560.607
5271.81,365.0
5271.81,560.34
5271.88,560.607
5271.91,365.0
5271.95,561.051
5272.01,365.0
5272.02,560.696
5272.09,560.34
5272.11,365.0
5272.16,561.229
5272.21,365.0
5272.23,560.785
5272.3,560.696
5272.31,365.0
5272.37,560.607
5272.41,365.0
5272.44,560.785
5272.51,365.0
5272.51,560.962
5272.58,560.785
5272.61,365.0
5272.65,560.518
5272.71,365.0
5272.72,560.073
5272.79,560.429
5272.81,365.0
5272.86,560.607
5272.91,365.0
5272.93,560.251
5273.0,560.162
5273.01,365.0
5273.07,560.696
5273.11,365.0
5273.14,560.607
5273.21,560.696
5273.21,365.0
5273.28,560.607
5273.31,365.0
5273.35,560.518
5273.41,365.0
5273.42,560.518
5273.49,560.518
5273.51,365.0
5273.56,560.518
5273.61,365.0
5273.63,560.429
5273.7,560.34
5273.71,365.0
5273.77,559.984
5273.81,365.0
5273.84,559.984
5273.91,365.0
5273.91,560.785
5273.98,560.429
5274.01,365.0
5274.05,560.607
5274.11,365.0
5274.12,560.607
5274.19,560.251
5274.21,365.0
5274.26,560.696
5274.31,365.0
5274.33,560.251
5274.399,560.607
5274.41,365.0
5274.47,560.429
5274.51,365.0
5274.54,560.607
5274.61,365.0
5274.61,560.607
5274.68,560.162
5274.7,365.0
5274.75,560.429
5274.81,365.0
5274.82,560.429
5274.89,560.429
5274.91,365.0
5274.96,559.629
5275.01,365.0
5275.03,559.984
5275.1,560.429
5275.11,365.0
5275.17,560.162
5275.21,365.0
5275.24,560.429
5275.31,560.251
5275.31,365.0
5275.38,559.718
5275.41,365.0
5275.45,560.429
5275.51,365.0
5275.52,560.429
5275.59,560.34
5275.61,365.0
5275.66,560.162
5275.71,365.0
5275.73,560.162
5275.8,560.251
5275.81,365.0
5275.87,560.251
5275.91,365.0
5275.94,559.806
5276.01,559.895
5276.01,365.0
5276.08,560.518
5276.11,365.0
5276.15,559.984
5276.21,365.0
5276.22,559.984
5276.29,559.895
5276.31,365.0
5276.36,559.806
5276.41,365.0
5276.43,560.518
5276.5,560.073
5276.51,365.0
5276.57,560.073
5276.61,365.0
5276.64,560.073
5276.71,365.0
5276.71,559.984
5276.78,560.073
5276.81,365.0
5276.85,559.984
5276.91,365.0
5276.92,560.073
5276.99,560.162
5277.01,365.0
5277.06,559.895
5277.11,365.0
5277.13,560.429
5277.2,560.073
5277.21,365.0
5277.27,559.718
5277.31,365.0
5277.34,559.895
5277.41,560.073
5277.41,365.0
5277.48,560.162
5277.51,365.0
5277.55,559.984
5277.61,365.0
5277.62,559.806
5277.69,560.073
5277.71,365.0
5277.76,559.984
5277.81,365.0
5277.83,560.251
5277.9,560.073
5277.91,365.0
5277.97,559.984
5278.01,365.0
5278.04,559.718
5278.11,559.806
5278.11,365.0
5278.18,559.895
5278.21,365.0
5278.25,560.251
5278.31,365.0
5278.32,559.984
5278.39,559.984
5278.41,365.0
5278.46,560.429
5278.51,365.0
5278.53,560.34
5278.6,560.34
5278.61,365.0
5278.67,559.629
5278.71,365.0
5278.74,559.984
5278.81,365.0
5278.81,559.806
5278.879,560.073
5278.91,365.0
5278.95,560.251
5279.01,365.0
5279.02,559.806
5279.09,559.984
5279.11,365.0
5279.16,560.251
5279.21,365.0
5279.23,559.984
5279.3,560.607
5279.31,365.0
5279.37,559.984
5279.41,365.0
5279.44,560.518
5279.51,560.251
5279.51,365.0
5279.58,560.073
5279.61,365.0
5279.65,560.429
5279.71,365.0
5279.72,560.607
5279.79,559.984
5279.81,365.0
5279.86,560.162
5279.91,365.0
5279.93,560.251
5280.0,560.518
5280.01,365.0
5280.07,559.984
5280.11,365.0
5280.14,560.34
5280.21,560.34
5280.21,365.0
5280.28,560.251
5280.31,365.0
5280.35,560.962
5280.41,365.0
5280.42,560.785
5280.49,559.895
5280.51,365.0
5280.56,560.785
5280.6,365.0
5280.63,560.518
5280.7,560.073
5280.71,365.0
5280.77,559.984
5280.81,365.0
5280.84,560.607
5280.91,365.0
5280.91,560.073
5280.98,560.251
5281.01,365.0
5281.05,560.251
5281.11,365.0
5281.12,559.984
5281.19,560.251
5281.21,365.0
5281.26,559.895
5281.31,365.0
5281.33,560.251
5281.4,559.895
5281.41,365.0
5281.47,560.073
5281.51,365.0
5281.54,560.429
5281.61,365.0
5281.61,560.073
5281.68,559.984
5281.71,365.0
5281.75,559.895
5281.81,365.0
5281.82,560.251
5281.89,561.051
5281.91,365.0
5281.96,560.785
5282.01,365.0
5282.03,560.873
5282.1,560.518
5282.11,365.0
5282.17,560.785
5282.21,365.0
5282.24,560.518
5282.31,560.429
5282.31,365.0
5282.38,560.429
5282.41,365.0
5282.45,560.34
5282.51,365.0
5282.52,560.251
5282.59,560.34
5282.61,365.0
5282.66,560.518
5282.71,365.0
5282.73,560.785
5282.8,560.962
5282.81,365.0
5282.87,560.34
5282.9,365.0
5282.94,560.429
5283.01,560.785
5283.01,365.0
5283.08,560.429
5283.11,365.0
5283.15,560.785
5283.21,365.0
5283.22,560.429
5283.29,560.785
5283.31,365.0
