mission_time,x,y,z,magnitude
5264.25,9.74,-0.67,-0.17,9.764496914844102
5264.26,9.82,-0.67,-0.17,9.84429784189812
5264.27,9.81,-0.7,-0.11,9.83555794045259
5264.28,9.88,-0.66,-0.14,9.903009643537667
5264.29,9.91,-0.69,-0.1,9.934495457747213
5264.3,9.99,-0.63,-0.08,10.010164833807684
5264.31,9.91,-0.68,-0.06,9.933483779621326
5264.32,9.82,-0.68,-0.14,9.84451116104807
5264.33,9.9,-0.7,-0.12,9.92544205564669
5264.34,9.95,-0.68,-0.09,9.973615192095592
5264.35,9.87,-0.71,-0.04,9.89558487407389
5264.37,9.85,-0.71,-0.02,9.875575932572236
5264.38,9.92,-0.74,-0.02,9.947582620918512
5264.39,9.89,-0.7,-0.16,9.916032472718108
5264.4,9.97,-0.69,-0.16,9.995128813577143
5264.41,9.82,-0.75,-0.11,9.849213166542798
5264.42,9.82,-0.78,-0.15,9.852070848303924
5264.43,9.82,-0.75,-0.15,9.849741113349122
5264.44,9.85,-0.78,-0.14,9.88182675419884
5264.45,9.87,-0.76,-0.13,9.900070706818209
5264.46,9.87,-0.75,-0.2,9.900474736092203
5264.48,9.86,-0.76,-0.22,9.891693484939776
5264.49,9.84,-0.82,-0.16,9.875403789212873
5264.5,9.86,-0.85,-0.17,9.898030107046552
5264.51,9.85,-0.79,-0.23,9.88430574193251
5264.52,9.91,-0.76,-0.19,9.940915450802306
5264.53,9.86,-0.8,-0.22,9.89484714384209
5264.54,9.94,-0.77,-0.26,9.973169004885056
5264.55,9.85,-0.79,-0.26,9.88504931702417
5264.56,9.83,-0.76,-0.18,9.860978653257495
5264.57,9.93,-0.73,-0.22,9.959226877624587
5264.58,9.93,-0.72,-0.2,9.958077123621809
5264.59,9.99,-0.71,-0.25,10.018318222136887
5264.6,9.84,-0.84,-0.25,9.878952373607234
5264.61,9.82,-0.76,-0.25,9.852537744155056
5264.62,9.86,-0.82,-0.25,9.897196572767461
5264.63,9.92,-0.71,-0.32,9.950522599341202
5264.64,9.96,-0.73,-0.25,9.989844843639966
5264.65,9.92,-0.75,-0.25,9.951452155338938
5264.66,9.95,-0.67,-0.26,9.975921010112298
5264.67,9.9,-0.7,-0.3,9.92924971989324
5264.68,9.83,-0.67,-0.32,9.85800182592801
5264.69,9.9,-0.68,-0.3,9.927859789501461
5264.7,9.89,-0.67,-0.28,9.916622408864825
5264.71,9.85,-0.73,-0.24,9.879929149543532
5264.72,9.83,-0.72,-0.37,9.863275318067522
5264.74,9.91,-0.67,-0.3,9.937152509647822
5264.75,9.88,-0.69,-0.34,9.909899091312687
5264.76,9.79,-0.71,-0.34,9.821598647878051
5264.77,9.73,-0.68,-0.34,9.759656756259414
5264.78,9.85,-0.66,-0.29,9.876345477958939
5264.79,9.87,-0.72,-0.25,9.899383819208142
5264.799,9.99,-0.67,-0.33,10.017879017037489
5264.81,9.96,-0.69,-0.26,9.987256880645457
5264.82,9.87,-0.74,-0.25,9.900858548631023
5264.83,9.84,-0.77,-0.34,9.875935398735656
5264.84,9.85,-0.77,-0.29,9.884305741932511
5264.85,9.89,-0.81,-0.21,9.925336266343827
5264.86,9.93,-0.77,-0.21,9.962022886944197
5264.87,9.81,-0.74,-0.24,9.840797731891454
5264.89,9.92,-0.72,-0.22,9.948527529237682
5264.9,9.87,-0.82,-0.19,9.905826568237503
5264.91,9.86,-0.8,-0.19,9.89422558869566
5264.92,9.85,-0.77,-0.19,9.88187735200149
5264.93,9.82,-0.81,-0.21,9.855587247850835
5264.94,9.95,-0.77,-0.16,9.981032010769226
5264.95,9.82,-0.86,-0.23,9.860268759014634
5264.96,9.85,-0.79,-0.22,9.884078105721342
5264.97,9.81,-0.81,-0.23,9.84607028209732
5264.98,9.82,-0.77,-0.22,9.852598641982734
5264.99,9.84,-0.76,-0.18,9.870947269639322
5265.01,9.96,-0.71,-0.16,9.986555962893314
5265.02,9.92,-0.75,-0.18,9.949939698309734
5265.03,9.86,-0.77,-0.22,9.892466830876916
5265.04,9.86,-0.8,-0.19,9.89422558869566
5265.05,9.86,-0.78,-0.17,9.8922646547694
5265.06,9.81,-0.79,-0.15,9.842900995133498
5265.07,9.85,-0.75,-0.17,9.879974696323872
5265.08,9.87,-0.7,-0.15,9.895928455683174
5265.09,9.8,-0.79,-0.15,9.832934455186814
5265.1,9.88,-0.7,-0.1,9.905271323896182
5265.11,9.88,-0.72,-0.09,9.906608905170327
5265.12,9.87,-0.72,-0.13,9.897080377565901
5265.13,9.85,-0.73,-0.08,9.877337697983197
5265.14,9.84,-0.71,-0.08,9.86590593914213
5265.15,9.85,-0.72,-0.08,9.876603667253232
5265.16,9.97,-0.68,-0.09,9.993567931424693
5265.17,9.84,-0.73,-0.06,9.867223520322218
5265.18,9.91,-0.7,-0.1,9.935195015700497
5265.19,9.86,-0.72,-0.04,9.88633400204545
5265.2,10.03,-0.62,-0.12,10.049860695551953
5265.21,9.9,-0.64,-0.1,9.921169285925929
5265.22,9.87,-0.61,-0.09,9.889241629164493
5265.23,9.89,-0.65,-0.14,9.912325660509747
5265.24,9.84,-0.75,-0.17,9.870005065854828
5265.25,9.9,-0.75,-0.21,9.93058910639243
5265.27,9.91,-0.77,-0.25,9.943012621937076
5265.28,9.9,-0.81,-0.23,9.935743555466797
5265.29,9.93,-0.77,-0.26,9.963202296450675
5265.3,9.93,-0.81,-0.2,9.96498871048031
5265.31,9.86,-0.8,-0.28,9.896362968282842
5265.32,9.9,-0.76,-0.19,9.930946581268072
5265.33,9.96,-0.77,-0.22,9.992141912523062
5265.34,9.85,-0.71,-0.25,9.878719552654584
5265.35,9.82,-0.78,-0.29,9.855196598749313
5265.36,9.89,-0.82,-0.28,9.927884971130558
5265.37,9.87,-0.84,-0.25,9.908834442052203
5265.38,9.87,-0.8,-0.22,9.904811961869846
5265.39,9.85,-0.84,-0.19,9.887578065431393
5265.4,9.85,-0.85,-0.22,9.889054555416307
5265.42,9.92,-0.8,-0.25,9.955345297878925
5265.43,9.88,-0.75,-0.27,9.912103712128925
5265.439,9.85,-0.72,-0.22,9.878729675418798
5265.45,9.93,-0.69,-0.24,9.956836847111637
5265.46,9.79,-0.76,-0.23,9.822148441150743
5265.47,9.79,-0.81,-0.19,9.8252887998267
5265.48,9.81,-0.78,-0.24,9.843886427626032
5265.49,9.81,-0.81,-0.31,9.848263806377245
5265.5,9.85,-0.76,-0.27,9.882965142101838
5265.51,9.82,-0.82,-0.32,9.859371176702904
5265.52,9.83,-0.71,-0.21,9.8578445919988
5265.54,9.8,-0.68,-0.24,9.826494797230598
5265.55,9.98,-0.66,-0.28,10.005718365015078
5265.56,9.84,-0.64,-0.4,9.868900647995195
5265.57,9.88,-0.72,-0.37,9.913107484537834
5265.58,9.9,-0.66,-0.27,9.925648593416957
5265.59,9.9,-0.66,-0.28,9.925925649530123
5265.6,9.86,-0.73,-0.24,9.889898887248544
5265.61,9.83,-0.7,-0.34,9.860755549145308
5265.62,9.88,-0.71,-0.26,9.908889947920503
