mission_time,x,y,z,magnitude
5264.26,-18314,19800,20850,34090.54261815145
5264.27,-16814,19800,21750,33879.390431352214
5264.29,-18314,19350,21600,34298.47075308169
5264.31,-17114,20400,20700,33727.42201829248
5264.33,-17564,19949,21000,33874.13020285539
5264.35,-17564,20100,21600,34337.50276301408
5264.37,-17114,19800,20850,33461.19388186859
5264.39,-17864,19200,21900,34166.833274390534
5264.41,-17864,19650,21000,33856.24013383648
5264.43,-17714,19800,21449,34145.06402102653
5264.45,-18314,19949,21150,34361.1364334767
5264.47,-17114,19800,21000,33554.865459423316
5264.49,-17564,19949,20400,33505.47264254005
5264.51,-17264,19650,21449,33826.43636270306
5264.53,-18164,19500,21750,34398.30513266606
5264.55,-17414,20250,21000,33975.13643828381
5264.57,-17564,19200,20700,33250.92624273796
5264.59,-17264,20850,20850,34168.562978269954
5264.61,-17264,19500,21449,33739.521291802586
5264.63,-16964,19050,21150,33136.117696555826
5264.65,-18164,19050,21600,34049.86631398132
5264.67,-17864,19949,21750,34498.51586662824
5264.69,-17714,19949,21300,34138.517791491766
5264.71,-18314,19350,21300,34110.33708423298
5264.73,-17264,19500,21600,33835.71627733038
5264.75,-17264,19800,21750,34104.95852511772
5264.76,-17264,19650,21300,33732.15374090424
5264.78,-17414,18750,21750,33583.811516860325
5264.799,-17114,19650,20850,33372.653415633584
5264.82,-18464,19949,20850,34257.90999170848
5264.84,-18164,19650,20700,33831.10101666808
5264.86,-17564,20400,21449,34419.67020469545
5264.88,-17864,19800,20850,33850.92311887521
5264.9,-17114,19350,21449,33576.34728495641
5264.92,-17714,20400,20700,34035.801679995726
5264.94,-18164,19500,20850,33836.42114645105
5264.96,-17714,18900,20700,33158.49508044658
5264.98,-17414,19200,20700,33171.936874412386
5265.0,-17114,19050,21449,33404.357455278194
5265.02,-17564,19650,21150,33792.589365125605
5265.04,-18164,19050,21300,33860.35138624524
5265.06,-18314,18000,20850,33077.561820666284
5265.08,-17714,18900,21600,33727.67107287428
5265.1,-18164,20400,21449,34729.67746754928
5265.12,-17864,19650,21150,33949.484473258206
5265.14,-17714,19650,21150,33870.795621006604
5265.16,-16964,20100,21449,33938.87000181356
5265.18,-17264,19350,21900,33942.27741327915
5265.2,-17714,19800,21449,34145.06402102653
5265.22,-18614,19200,21750,34470.03765591213
5265.24,-18464,19350,21750,34473.240288664485
5265.25,-17414,19350,21449,33730.24602637817
5265.27,-16964,19800,21449,33762.062984953984
5265.29,-17864,19500,21150,33862.88522852121
5265.31,-17264,19650,22200,34307.55304594019
5265.33,-17714,19800,21600,34240.119684370264
5265.35,-16664,20400,21300,33875.343481653435
5265.37,-17414,19500,21600,33912.49616291906
5265.39,-17714,19350,22050,34269.67750067106
5265.41,-17264,19200,21150,33376.76131682042
5265.43,-18164,20250,21750,34828.95197963901
5265.45,-17114,20100,21000,33732.7584997136
5265.47,-18014,19500,21600,34224.46779717692
5265.49,-18014,19500,21300,34035.92507924531
5265.51,-17264,19350,20850,33274.47514236701
5265.53,-17564,20100,21150,34056.22697833687
5265.55,-17564,19200,20850,33344.51373164707
5265.57,-18614,19949,20700,34248.11815268103
5265.59,-17564,20100,21300,34149.584126311114
5265.61,-17564,19500,20550,33332.36559261884
5265.63,-17714,18750,21449,33547.09968089641
5265.65,-17264,19949,21600,34096.45578355616
5265.67,-17714,20400,21750,34684.4099848909
5265.69,-17714,19949,21750,34421.08215904898
5265.71,-17264,19650,21449,33826.43636270306
5265.73,-17714,18900,21449,33631.167047844174
5265.74,-17714,20250,22200,34881.05927290626
5265.76,-18164,20400,21750,34916.37718893528
5265.78,-18014,19500,21300,34035.92507924531
5265.8,-17114,18900,21300,33223.3200628715
5265.82,-17414,19500,21449,33816.51958732596
5265.84,-18164,19350,21900,34408.76917298845
5265.86,-17114,19800,21449,33837.68013620319
5265.88,-17264,19350,21600,33749.491788766245
5265.9,-16814,19949,21300,33680.308742646645
5265.92,-18164,19800,21449,34380.67039776857
5265.94,-17564,19350,22200,34289.30731292191
5265.96,-17414,19350,21000,33446.5229284002
5265.98,-18164,18600,21900,33992.659442885604
5266.0,-17114,19650,21600,33846.29220461231
5266.02,-18014,18750,21000,33422.547718568676
5266.04,-18014,18600,20550,33057.02188643133
5266.06,-18164,19200,21900,34324.63977961022
5266.079,-18164,19200,20550,33479.44736700413
5266.1,-17864,19200,21300,33785.388794566206
5266.12,-18614,19800,22050,34996.04971993268
5266.14,-17864,19200,21750,34070.88193751374
5266.16,-18164,19949,21300,34374.169037229105
5266.18,-17414,19949,21300,33983.81963523229
5266.2,-17264,19200,22200,34051.80899746737
5266.22,-17564,19650,21300,33886.67283756255
5266.23,-18014,19650,20700,33750.802894153494
5266.25,-17414,19350,20700,33258.98218526839
5266.27,-18314,19800,21449,34460.15375763724
5266.29,-18014,20400,20550,34102.29751790926
5266.31,-18014,19200,20700,33490.80763433453
5266.33,-17564,20250,21150,34144.97175280718
5266.35,-17564,20250,21000,34052.26271483292
5266.37,-17414,19650,21300,33809.168815574274
5266.39,-18314,19949,20850,34177.29797687348
5266.41,-17564,19650,21000,33698.91090228288
5266.43,-17114,19500,20850,33284.553414459384
5266.45,-17714,20100,21300,34226.974683719855
5266.47,-18014,19650,20850,33843.008081433894
5266.49,-17114,19500,21750,33855.59770554937
5266.51,-18164,19500,21300,34115.552113369056
5266.53,-18164,19200,21000,33757.53095236676
5266.55,-18464,19200,21150,34012.965116261184
5266.57,-17714,19949,21750,34421.08215904898
5266.59,-17864,19800,21600,34317.96171103406
5266.61,-17864,19500,21150,33862.88522852121
5266.63,-18014,20250,20700,34103.617051568006
5266.65,-17714,19949,21000,33952.14863598473
5266.67,-17714,19200,21750,33992.47410824931
5266.69,-18014,19500,21900,34414.59277690207
5266.71,-17864,20250,21000,34207.96684984362
5266.719,-17264,19949,20550,33441.154241443284
5266.74,-17264,18900,21150,33205.09292262258
5266.76,-17264,20100,21449,34089.812217141945
5266.78,-17864,19650,21449,34136.558071955646
5266.8,-17714,20250,21000,34129.87395230167
5266.82,-18464,19800,21300,34447.776357843475
5266.84,-17864,20400,20400,33932.91169351667
5266.86,-17114,19200,20550,32921.596194595426
5266.88,-17864,19949,20700,33846.34540094395
5266.9,-17114,19500,20400,33004.529931510915
5266.92,-17564,19949,21000,33874.13020285539
5266.94,-17414,19800,20250,33246.802793652205
5266.96,-18614,19350,21300,34272.34301882496
5266.98,-18164,18900,21600,33966.172819439045
5267.0,-18314,19350,21750,34393.13297738373
5267.02,-18464,19800,21150,34355.22952914156
5267.04,-18164,19350,21449,34123.49625990866
5267.06,-18314,20100,22050,35008.78598295005
5267.08,-18614,19050,20250,33458.12301967939
5267.1,-17864,19650,20250,33396.219786077585
5267.12,-17864,19500,21300,33956.77393392959
5267.14,-17864,19800,21150,34036.524440665205
5267.16,-17414,20700,21449,34522.412966071766
5267.18,-17414,19050,21300,33464.008964856555
5267.2,-17714,19650,21600,34153.59858053028
5267.21,-17564,19050,20850,33258.3688114736
5267.23,-17264,20250,21449,34178.46978727983
5267.25,-17414,19800,21750,34181.13362660753
5267.27,-18464,19650,22350,35022.33995609088
5267.29,-17714,20100,21750,34508.814757971624
5267.31,-17264,19800,21000,33631.61750496101
5267.33,-17264,19800,21150,33725.48288757331
5267.35,-18464,19500,20550,33815.25980973679
5267.37,-17564,20100,20550,33686.890565915994
5267.39,-17864,19800,20850,33850.92311887521
5267.41,-17864,19350,21600,34060.31409132922
5267.43,-17564,19949,19500,32965.23467230288
5267.45,-18314,19650,20550,33820.52033898947
5267.47,-16964,19650,21600,33770.694336954344
5267.49,-18464,19500,21449,34369.010707321795
5267.51,-18464,20100,21449,34712.9499898813
5267.53,-18464,19350,21900,34568.07480899103
5267.55,-18164,20400,21150,34545.81589715316
5267.57,-17264,19949,21150,33813.174902691404
5267.59,-17864,19800,21000,33943.51920470239
5267.61,-18314,18900,21000,33669.16387438215
5267.63,-17264,19650,21750,34018.093656170684
5267.65,-17714,19800,21600,34240.119684370264
5267.67,-17864,19350,21600,34060.31409132922
5267.68,-16964,18300,21449,32904.81571138182
5267.7,-17714,19650,21900,34344.11588613106
5267.72,-17714,20400,21150,34311.343546996235
5267.74,-18614,19949,20700,34248.11815268103
5267.76,-18764,19050,22050,34658.226959843174
5267.78,-17264,19500,20550,33175.26482185184
5267.8,-17714,19650,21449,34058.30144032436
5267.82,-16814,19949,21300,33680.308742646645
5267.84,-17564,18900,21750,33745.61595229816
5267.86,-17714,19800,20850,33772.004619210864
5267.88,-18464,19949,21600,34719.47431917713
5267.9,-17864,20250,20850,34116.088521399986
5267.92,-17564,20100,21150,34056.22697833687
5267.94,-17414,19949,21449,34077.405975220594
5267.96,-17864,19500,21150,33862.88522852121
5267.98,-18614,19200,21150,34094.62561753685
5267.999,-18914,19350,21300,34436.200371121085
5268.02,-17864,19200,21300,33785.388794566206
5268.04,-17264,18750,20700,32834.40567453597
5268.06,-17864,20100,21900,34680.57808053378
5268.08,-17264,19050,20700,33006.638665577564
5268.1,-18014,19800,21150,34115.49055780966
5268.12,-17264,20400,22050,34646.90745218107
5268.14,-18164,19800,21600,34475.07644661575
5268.16,-17264,20250,21449,34178.46978727983
5268.17,-17564,19200,21150,33532.91809550729
5268.19,-18164,20100,21000,34277.41087071776
5268.21,-17414,20100,20700,33700.85156194128
5268.23,-16814,19949,22050,34159.562306914886
5268.25,-17864,20100,21000,34119.385926478804
5268.27,-18464,19949,21900,34906.903285739914
5268.29,-18614,20100,20850,34426.929807927976
5268.31,-17114,19650,21000,33466.57281527345
5268.33,-17714,19800,20550,33587.62117209256
5268.35,-18614,20250,21900,35158.97461530982
5268.37,-16964,19350,20550,32931.78246010987
5268.39,-16964,19050,21300,33232.05976162176
5268.41,-17714,18750,21600,33643.844845677195
5268.43,-17714,19800,20850,33772.004619210864
5268.45,-17114,19350,21600,33673.00841920722
5268.47,-18314,19650,20550,33820.52033898947
5268.49,-17564,19200,21300,33627.72808264037
