mission_time,pascals
5264.32,94812
5264.39,94814
5264.46,94815
5264.53,94814
5264.6,94819
5264.67,94815
5264.74,94816
5264.81,94816
5264.88,94817
5264.95,94816
5265.02,94818
5265.09,94813
5265.16,94814
5265.23,94815
5265.3,94809
5265.37,94815
5265.439,94814
5265.51,94813
5265.58,94811
5265.65,94815
5265.72,94813
5265.79,94809
5265.86,94810
5265.93,94807
5266.0,94814
5266.07,94814
5266.14,94813
5266.21,94813
5266.28,94813
5266.35,94810
5266.42,94806
5266.49,94806
5266.56,94811
5266.63,94814
5266.7,94811
5266.77,94809
5266.84,94811
5266.91,94816
5266.98,94810
5267.05,94815
5267.12,94813
5267.19,94814
5267.26,94819
5267.33,94816
5267.4,94812
5267.47,94811
5267.54,94812
5267.61,94811
5267.68,94817
5267.75,94814
5267.82,94813
5267.89,94809
5267.96,94814
5268.03,94809
5268.1,94811
5268.17,94813
5268.24,94814
5268.31,94814
5268.38,94815
5268.45,94814
5268.52,94815
5268.59,94815
5268.66,94811
5268.73,94814
5268.8,94813
5268.87,94815
5268.94,94818
5269.01,94815
5269.08,94807
5269.15,94809
5269.22,94806
5269.29,94806
5269.36,94812
5269.43,94810
5269.5,94808
5269.57,94809
5269.64,94810
5269.71,94811
5269.78,94813
5269.85,94809
5269.919,94813
5269.99,94809
5270.06,94815
5270.13,94811
5270.2,94814
5270.27,94815
5270.34,94817
5270.41,94813
5270.48,94816
5270.55,94815
5270.62,94814
5270.69,94819
5270.76,94813
5270.83,94817
5270.9,94812
5270.97,94811
5271.04,94813
5271.11,94812
5271.18,94813
5271.25,94814
5271.32,94808
5271.39,94804
5271.46,94813
5271.53,94814
5271.6,94811
5271.67,94805
5271.74,94806
5271.81,94809
5271.88,94806
5271.95,94801
5272.02,94805
5272.09,94809
5272.16,94799
5272.23,94804
5272.3,94805
5272.37,94806
5272.44,94804
5272.51,94802
5272.58,94804
5272.65,94807
5272.72,94812
5272.79,94808
5272.86,94806
5272.93,94810
5273.0,94811
5273.07,94805
5273.14,94806
5273.21,94805
5273.28,94806
5273.35,94807
5273.42,94807
5273.49,94807
5273.56,94807
5273.63,94808
5273.7,94809
5273.77,94813
5273.84,94813
5273.91,94804
5273.98,94808
5274.05,94806
5274.12,94806
5274.19,94810
5274.26,94805
5274.33,94810
5274.399,94806
5274.47,94808
5274.54,94806
5274.61,94806
5274.68,94811
5274.75,94808
5274.82,94808
5274.89,94808
5274.96,94817
5275.03,94813
5275.1,94808
5275.17,94811
5275.24,94808
5275.31,94810
5275.38,94816
5275.45,94808
5275.52,94808
5275.59,94809
5275.66,94811
5275.73,94811
5275.8,94810
5275.87,94810
5275.94,94815
5276.01,94814
5276.08,94807
5276.15,94813
5276.22,94813
5276.29,94814
5276.36,94815
5276.43,94807
5276.5,94812
5276.57,94812
5276.64,94812
5276.71,94813
5276.78,94812
5276.85,94813
5276.92,94812
5276.99,94811
5277.06,94814
5277.13,94808
5277.2,94812
5277.27,94816
5277.34,94814
5277.41,94812
5277.48,94811
5277.55,94813
5277.62,94815
5277.69,94812
5277.76,94813
5277.83,94810
5277.9,94812
5277.97,94813
5278.04,94816
5278.11,94815
5278.18,94814
5278.25,94810
5278.32,94813
5278.39,94813
5278.46,94808
5278.53,94809
5278.6,94809
5278.67,94817
5278.74,94813
5278.81,94815
5278.879,94812
5278.95,94810
5279.02,94815
5279.09,94813
5279.16,94810
5279.23,94813
5279.3,94806
5279.37,94813
5279.44,94807
5279.51,94810
5279.58,94812
5279.65,94808
5279.72,94806
5279.79,94813
5279.86,94811
5279.93,94810
5280.0,94807
5280.07,94813
5280.14,94809
5280.21,94809
5280.28,94810
5280.35,94802
5280.42,94804
5280.49,94814
5280.56,94804
5280.63,94807
5280.7,94812
5280.77,94813
5280.84,94806
5280.91,94812
5280.98,94810
5281.05,94810
5281.12,94813
5281.19,94810
5281.26,94814
5281.33,94810
5281.4,94814
5281.47,94812
5281.54,94808
5281.61,94812
5281.68,94813
5281.75,94814
5281.82,94810
5281.89,94801
5281.96,94804
5282.03,94803
5282.1,94807
5282.17,94804
5282.24,94807
5282.31,94808
5282.38,94808
5282.45,94809
5282.52,94810
5282.59,94809
5282.66,94807
5282.73,94804
5282.8,94802
5282.87,94809
5282.94,94808
5283.01,94804
5283.08,94808
5283.15,94804
5283.22,94808
5283.29,94804
5283.359,94808
5283.43,94811
5283.5,94809
5283.57,94815
5283.64,94820
5283.71,94811
5283.78,94803
5283.85,94776
5283.92,94739
5283.99,94696
5284.06,94642
5284.13,94585
5284.2,94514
5284.27,94437
5284.34,94351
5284.41,94262
5284.48,94152
5284.55,94040
5284.62,93927
5284.69,93810
5284.76,93694
5284.83,93550
5284.9,93369
5284.97,93185
5285.04,93036
5285.11,92843
5285.18,92629
5285.25,92409
5285.32,92249
5285.39,91976
5285.46,91733
5285.53,91571
5285.6,91270
5285.67,91038
5285.74,90767
5285.81,90462
5285.88,90135
5285.95,89782
5286.02,89387
5286.09,89019
5286.16,89298
5286.23,89538
5286.3,89620
5286.37,89611
5286.44,89546
5286.51,89406
5286.58,89286
5286.65,89330
5286.72,89547
5286.79,89888
5286.86,90209
5286.93,90429
5287.0,90495
5287.07,90392
5287.14,90253
5287.21,90105
5287.28,89932
5287.35,89734
5287.42,89455
5287.49,89219
5287.56,88980
5287.63,88760
5287.7,88523
5287.77,88263
5287.839,88005
5287.91,87721
5287.98,87417
5288.05,87122
5288.12,86840
5288.19,86522
5288.26,86182
5288.33,85858
5288.4,85393
5288.47,84896
5288.54,84383
5288.61,83926
5288.68,83459
5288.75,82896
5288.82,82430
5288.89,81900
5288.96,81328
5289.03,80707
5289.1,80216
5289.17,79850
5289.24,79516
5289.31,79077
5289.38,78649
5289.45,78232
5289.52,77768
5289.59,77211
5289.66,76686
5289.73,76311
5289.8,76037
5289.87,75662
5289.94,75271
5290.01,74872
5290.08,74452
5290.15,73916
5290.22,73400
5290.29,73087
5290.36,72867
5290.43,72529
5290.5,72179
5290.57,71799
5290.64,71341
5290.71,70824
5290.78,70532
5290.85,70346
5290.92,70042
5290.99,69733
5291.06,69366
5291.13,68826
5291.2,68471
5291.27,68359
5291.34,68085
5291.41,67800
5291.48,67399
5291.55,66861
5291.62,66722
5291.69,66563
5291.76,66300
5291.83,65970
5291.9,65450
5291.97,65256
5292.04,65140
5292.11,64887
5292.18,64571
5292.25,64059
5292.319,63915
5292.39,63781
5292.46,63550
5292.53,63198
5292.6,62752
5292.67,62698
5292.74,62509
5292.81,62274
5292.88,61838
5292.95,61601
5293.02,61515
5293.09,61312
5293.16,61000
5293.23,60584
5293.3,60532
5293.37,60343
5293.44,60117
5293.51,59705
5293.58,59538
5293.65,59420
5293.72,59228
5293.79,58913
5293.86,58576
5293.93,58518
5294.0,58339
5294.07,58115
5294.14,57696
5294.21,57540
5294.28,57445
5294.35,57267
5294.42,56971
5294.49,56586
5294.56,56536
5294.63,56374
5294.7,56174
5294.77,55801
5294.84,55517
5294.91,55438
5294.98,55224
5295.05,54959
5295.12,54496
5295.19,54175
5295.26,53995
5295.33,53674
5295.4,53303
5295.47,52844
5295.54,52792
5295.61,52823
5295.68,52665
5295.75,52589
5295.82,52339
5295.89,52050
5295.96,52106
5296.03,52025
5296.1,51912
5296.17,51690
5296.24,51328
5296.31,51359
5296.38,51348
5296.45,51224
5296.52,50974
5296.59,50526
5296.66,50603
5296.73,50475
5296.799,50303
5296.87,49894
5296.94,50000
5297.01,50080
5297.08,50015
5297.15,49855
5297.22,49432
5297.29,49466
5297.36,49593
5297.43,49508
5297.5,49354
5297.57,48901
5297.64,48916
5297.71,49088
5297.78,49002
5297.85,48883
5297.92,48472
5297.99,48309
5298.06,48529
5298.13,48477
5298.2,48392
5298.27,48136
5298.34,47771
5298.41,47877
5298.48,47977
5298.55,47904
5298.62,47784
5298.69,47404
5298.76,47197
5298.83,47396
5298.9,47403
5298.97,47329
5299.04,47190
5299.11,46782
5299.18,46620
5299.25,46831
5299.32,46838
5299.39,46755
5299.46,46635
5299.53,46233
5299.6,46031
5299.67,46238
5299.74,46291
5299.81,46222
5299.88,46119
5299.95,45789
5300.02,45470
5300.09,45586
5300.16,45768
5300.23,45685
5300.3,45614
5300.37,45436
5300.44,45008
5300.51,44906
5300.58,45148
5300.65,45182
5300.72,45114
5300.79,45023
5300.86,44745
5300.93,44360
5301.0,44386
5301.07,44644
5301.14,44618
5301.21,44556
5301.279,44462
5301.35,44142
5301.42,43809
5301.49,43873
5301.56,44110
5301.63,44080
5301.7,44013
5301.77,43923
5301.84,43648
5301.91,43300
5301.98,43330
5302.05,43574
5302.12,43570
5302.19,43511
5302.26,43428
5302.33,43178
5302.4,42843
5302.47,42867
5302.54,43107
5302.61,43100
5302.68,43058
5302.75,42987
5302.82,42686
5302.89,42393
5302.96,42503
5303.03,42722
5303.1,42666
5303.17,42621
5303.24,42522
5303.31,42132
5303.38,41945
5303.45,42186
5303.52,42265
5303.59,42210
5303.66,42138
5303.73,41833
5303.8,41532
5303.87,41713
5303.94,41862
5304.01,41812
5304.08,41760
5304.15,41504
5304.22,41156
5304.29,41298
5304.36,41508
5304.43,41450
5304.5,41413
5304.57,41240
5304.64,40844
5304.71,40865
5304.78,41118
5304.85,41086
5304.92,41056
5304.99,40965
5305.06,40578
5305.13,40405
5305.2,40666
5305.27,40749
5305.34,40703
5305.41,40653
5305.48,40440
5305.55,40088
5305.62,40145
5305.69,40398
5305.759,40370
5305.83,40340
5305.9,40273
5305.97,39960
5306.04,39703
5306.11,39849
5306.18,40059
5306.25,40011
5306.32,39983
5306.39,39905
5306.46,39560
5306.53,39333
5306.6,39508
5306.67,39711
5306.74,39667
5306.81,39640
5306.88,39575
5306.95,39278
5307.02,39014
5307.09,39118
5307.16,39353
5307.23,39333
5307.3,39314
5307.37,39276
5307.44,39089
5307.51,38747
5307.58,38697
5307.65,38925
5307.72,39028
5307.79,38984
5307.86,38969
5307.93,38906
5308.0,38644
5308.07,38383
5308.14,38425
5308.21,38648
5308.28,38685
5308.35,38660
5308.42,38646
5308.49,38576
5308.56,38309
5308.63,38050
5308.7,38080
5308.77,38308
5308.84,38376
5308.91,38347
5308.98,38331
5309.05,38290
5309.12,38099
5309.19,37798
5309.26,37730
5309.33,37898
5309.4,38065
5309.47,38043
5309.54,38028
5309.61,38014
5309.68,37945
5309.75,37696
5309.82,37463
5309.89,37458
5309.96,37636
5310.03,37765
5310.1,37736
5310.17,37724
5310.239,37714
5310.31,37648
5310.38,37417
5310.45,37170
5310.52,37126
5310.59,37285
5310.66,37453
5310.73,37445
5310.8,37433
5310.87,37436
5310.94,37404
5311.01,37274
5311.08,36990
5311.15,36812
5311.22,36852
5311.29,37041
5311.36,37179
5311.43,37160
5311.5,37155
5311.57,37158
5311.64,37123
5311.71,37012
5311.78,36731
5311.85,36538
5311.92,36541
5311.99,36707
5312.06,36879
5312.13,36894
5312.2,36883
5312.27,36890
5312.34,36879
5312.41,36827
5312.48,36646
5312.55,36394
5312.62,36260
5312.69,36310
5312.76,36485
5312.83,36632
5312.9,36640
5312.97,36632
5313.04,36644
5313.11,36641
5313.18,36607
5313.25,36484
5313.32,36246
5313.39,36056
5313.46,36008
5313.53,36114
5313.6,36289
5313.67,36399
5313.74,36396
5313.81,36399
5313.88,36413
5313.95,36411
5314.02,36375
5314.09,36261
5314.16,36023
5314.23,35815
5314.3,35733
5314.37,35812
5314.44,35990
5314.51,36153
5314.58,36184
5314.65,36181
5314.719,36196
5314.79,36213
5314.86,36207
5314.93,36161
5315.0,36029
5315.07,35791
5315.14,35601
5315.21,35524
5315.28,35595
5315.35,35751
5315.42,35921
5315.49,35998
5315.56,35997
5315.63,36006
5315.7,36030
5315.77,36042
5315.84,36026
5315.91,35968
5315.98,35807
5316.05,35587
5316.12,35407
5316.19,35352
5316.26,35418
5316.33,35580
