mission_time,celsius
5264.25,19.55
5264.32,19.54
5264.39,19.54
5264.46,19.55
5264.53,19.55
5264.6,19.54
5264.67,19.55
5264.74,19.55
5264.81,19.55
5264.88,19.55
5264.95,19.55
5265.02,19.55
5265.09,19.55
5265.16,19.55
5265.23,19.55
5265.3,19.55
5265.37,19.55
5265.439,19.55
5265.51,19.56
5265.58,19.55
5265.65,19.55
5265.72,19.55
5265.79,19.55
5265.86,19.55
5265.93,19.55
5266.0,19.55
5266.07,19.56
5266.14,19.55
5266.21,19.55
5266.28,19.56
5266.35,19.55
5266.42,19.55
5266.49,19.55
5266.56,19.55
5266.63,19.56
5266.7,19.55
5266.77,19.56
5266.84,19.56
5266.91,19.56
5266.98,19.55
5267.05,19.56
5267.12,19.55
5267.19,19.56
5267.26,19.56
5267.33,19.56
5267.4,19.56
5267.47,19.56
5267.54,19.56
5267.61,19.56
5267.68,19.56
5267.75,19.56
5267.82,19.56
5267.89,19.56
5267.96,19.56
5268.03,19.56
5268.1,19.56
5268.17,19.56
5268.24,19.56
5268.31,19.56
5268.38,19.56
5268.45,19.56
5268.52,19.56
5268.59,19.56
5268.66,19.56
5268.73,19.56
5268.8,19.56
5268.87,19.56
5268.94,19.56
5269.01,19.56
5269.08,19.56
5269.15,19.57
5269.22,19.56
5269.29,19.56
5269.36,19.57
5269.43,19.56
5269.5,19.57
5269.57,19.56
5269.64,19.56
5269.71,19.57
5269.78,19.57
5269.85,19.56
5269.919,19.56
5269.99,19.57
5270.06,19.57
5270.13,19.57
5270.2,19.57
5270.27,19.57
5270.34,19.57
5270.41,19.57
5270.48,19.57
5270.55,19.57
5270.62,19.57
5270.69,19.57
5270.76,19.57
5270.83,19.57
5270.9,19.57
5270.97,19.57
5271.04,19.57
5271.11,19.57
5271.18,19.57
5271.25,19.57
5271.32,19.57
5271.39,19.57
5271.46,19.57
5271.53,19.57
5271.6,19.57
5271.67,19.57
5271.74,19.57
5271.81,19.57
5271.88,19.57
5271.95,19.57
5272.02,19.57
5272.09,19.57
5272.16,19.57
5272.23,19.57
5272.3,19.57
5272.37,19.57
5272.44,19.57
5272.51,19.57
5272.58,19.57
5272.65,19.57
5272.72,19.57
5272.79,19.57
5272.86,19.57
5272.93,19.57
5273.0,19.57
5273.07,19.57
5273.14,19.57
5273.21,19.57
5273.28,19.57
5273.35,19.57
5273.42,19.57
5273.49,19.57
5273.56,19.57
5273.63,19.57
5273.7,19.57
5273.77,19.58
5273.84,19.57
5273.91,19.58
5273.98,19.57
5274.05,19.58
5274.12,19.58
5274.19,19.58
5274.26,19.58
5274.33,19.57
5274.399,19.58
5274.47,19.58
5274.54,19.58
5274.61,19.58
5274.68,19.58
5274.75,19.58
5274.82,19.58
5274.89,19.58
5274.96,19.58
5275.03,19.58
5275.1,19.58
5275.17,19.58
5275.24,19.58
5275.31,19.58
5275.38,19.58
5275.45,19.58
5275.52,19.58
5275.59,19.58
5275.66,19.58
5275.73,19.58
5275.8,19.58
5275.87,19.58
5275.94,19.58
5276.01,19.58
5276.08,19.58
5276.15,19.58
5276.22,19.58
5276.29,19.58
5276.36,19.58
5276.43,19.58
5276.5,19.58
5276.57,19.58
5276.64,19.58
5276.71,19.58
5276.78,19.58
5276.85,19.59
5276.92,19.58
5276.99,19.58
5277.06,19.58
5277.13,19.58
5277.2,19.59
5277.27,19.59
5277.34,19.58
5277.41,19.58
5277.48,19.59
5277.55,19.59
5277.62,19.59
5277.69,19.59
5277.76,19.59
5277.83,19.59
5277.9,19.59
5277.97,19.59
5278.04,19.59
5278.11,19.59
5278.18,19.59
5278.25,19.59
5278.32,19.59
5278.39,19.59
5278.46,19.59
5278.53,19.59
5278.6,19.59
5278.67,19.59
5278.74,19.59
5278.81,19.59
5278.879,19.59
5278.95,19.59
5279.02,19.59
5279.09,19.59
5279.16,19.59
5279.23,19.59
5279.3,19.59
5279.37,19.6
5279.44,19.6
5279.51,19.6
5279.58,19.59
5279.65,19.6
5279.72,19.6
5279.79,19.6
5279.86,19.6
5279.93,19.6
5280.0,19.6
5280.07,19.6
5280.14,19.6
5280.21,19.6
5280.28,19.6
5280.35,19.6
5280.42,19.6
5280.49,19.6
5280.56,19.6
5280.63,19.6
5280.7,19.6
5280.77,19.6
5280.84,19.6
5280.91,19.6
5280.98,19.6
5281.05,19.6
5281.12,19.6
5281.19,19.6
5281.26,19.6
5281.33,19.6
5281.4,19.6
5281.47,19.6
5281.54,19.6
5281.61,19.6
5281.68,19.6
5281.75,19.6
5281.82,19.6
5281.89,19.6
5281.96,19.6
5282.03,19.6
5282.1,19.6
5282.17,19.6
5282.24,19.6
5282.31,19.6
5282.38,19.6
5282.45,19.6
5282.52,19.6
5282.59,19.6
5282.66,19.6
5282.73,19.6
5282.8,19.6
5282.87,19.61
5282.94,19.61
5283.01,19.6
5283.08,19.6
5283.15,19.61
5283.22,19.61
5283.29,19.61
5283.359,19.61
5283.43,19.6
5283.5,19.61
5283.57,19.6
5283.64,19.61
5283.71,19.61
5283.78,19.61
5283.85,19.61
5283.92,19.61
5283.99,19.61
5284.06,19.61
5284.13,19.61
5284.2,19.61
5284.27,19.61
5284.34,19.61
5284.41,19.61
5284.48,19.61
5284.55,19.61
5284.62,19.61
5284.69,19.61
5284.76,19.61
5284.83,19.61
5284.9,19.6
5284.97,19.6
5285.04,19.6
5285.11,19.59
5285.18,19.59
5285.25,19.59
5285.32,19.59
5285.39,19.58
5285.46,19.58
5285.53,19.57
5285.6,19.57
5285.67,19.57
5285.74,19.56
5285.81,19.56
5285.88,19.56
5285.95,19.55
5286.02,19.55
5286.09,19.55
5286.16,19.55
5286.23,19.54
5286.3,19.54
5286.37,19.53
5286.44,19.54
5286.51,19.53
5286.58,19.53
5286.65,19.53
5286.72,19.53
5286.79,19.53
5286.86,19.53
5286.93,19.53
5287.0,19.53
5287.07,19.53
5287.14,19.53
5287.21,19.53
5287.28,19.53
5287.35,19.53
5287.42,19.53
5287.49,19.53
5287.56,19.53
5287.63,19.53
5287.7,19.53
5287.77,19.53
5287.839,19.52
5287.91,19.52
5287.98,19.52
5288.05,19.51
5288.12,19.51
5288.19,19.51
5288.26,19.51
5288.33,19.5
